gene_id	control_1	control_2	treatment_1	treatment_2
Glyma.01G000100.Wm82.a4.v1	128	122	19	42
Glyma.01G000137.Wm82.a4.v1	3	53	9	25
Glyma.01G000174.Wm82.a4.v1	9	31	8	12
Glyma.01G000211.Wm82.a4.v1	48	23	24	43
Glyma.01G000248.Wm82.a4.v1	0	0	0	0
Glyma.01G000285.Wm82.a4.v1	0	0	3	0
Glyma.01G000322.Wm82.a4.v1	0	0	3	5
Glyma.01G000359.Wm82.a4.v1	163	91	8	31
Glyma.01G000400.Wm82.a4.v1	281	192	44	239
Glyma.01G000600.Wm82.a4.v1	194	125	112	165
Glyma.01G000900.Wm82.a4.v1	378	590	273	474
Glyma.01G001000.Wm82.a4.v1	501	482	219	379
Glyma.01G001100.Wm82.a4.v1	119	183	48	68
Glyma.01G001150.Wm82.a4.v1	0	0	0	0
Glyma.01G001200.Wm82.a4.v1	91	93	25	36
Glyma.01G001300.Wm82.a4.v1	1240	1549	653	1687
Glyma.01G001350.Wm82.a4.v1	0	0	0	0
Glyma.01G001450.Wm82.a4.v1	0	0	0	0
Glyma.01G001500.Wm82.a4.v1	0	11	0	4
Glyma.01G001600.Wm82.a4.v1	51	166	45	121
Glyma.01G001700.Wm82.a4.v1	169	141	51	87
Glyma.01G001800.Wm82.a4.v1	0	9	0	2
Glyma.01G001900.Wm82.a4.v1	0	0	0	0
Glyma.01G002000.Wm82.a4.v1	1	0	0	1
Glyma.01G002100.Wm82.a4.v1	597	953	278	641
Glyma.01G002200.Wm82.a4.v1	371	268	85	204
Glyma.01G002250.Wm82.a4.v1	0	0	0	0
Glyma.01G002300.Wm82.a4.v1	9	4	1	23
Glyma.01G002400.Wm82.a4.v1	0	0	0	0
Glyma.01G002501.Wm82.a4.v1	5	0	0	0
Glyma.01G002600.Wm82.a4.v1	605	452	168	315
Glyma.01G002700.Wm82.a4.v1	295	253	84	175
Glyma.01G002800.Wm82.a4.v1	8	0	0	0
Glyma.01G002902.Wm82.a4.v1	2	34	8	12
Glyma.01G003000.Wm82.a4.v1	11	112	35	81
Glyma.01G003100.Wm82.a4.v1	146	103	68	138
Glyma.01G003200.Wm82.a4.v1	4	0	1	4
Glyma.01G003300.Wm82.a4.v1	0	0	0	0
Glyma.01G003400.Wm82.a4.v1	3	32	19	24
Glyma.01G003450.Wm82.a4.v1	1	0	8	2
Glyma.01G003500.Wm82.a4.v1	0	5	0	0
Glyma.01G003600.Wm82.a4.v1	55	58	31	90
Glyma.01G003700.Wm82.a4.v1	352	414	180	360
Glyma.01G003800.Wm82.a4.v1	197	204	143	307
Glyma.01G003900.Wm82.a4.v1	0	0	0	0
Glyma.01G004000.Wm82.a4.v1	0	0	3	15
Glyma.01G004100.Wm82.a4.v1	195	217	208	450
Glyma.01G004200.Wm82.a4.v1	1576	2432	3887	5165
Glyma.01G004300.Wm82.a4.v1	3442	2913	1146	1858
Glyma.01G004500.Wm82.a4.v1	1236	892	564	1400
Glyma.01G004600.Wm82.a4.v1	207	302	10	85
Glyma.01G004700.Wm82.a4.v1	78	57	49	72
Glyma.01G004800.Wm82.a4.v1	29	30	333	404
Glyma.01G004900.Wm82.a4.v1	0	0	8	12
Glyma.01G005000.Wm82.a4.v1	247	154	80	123
Glyma.01G005100.Wm82.a4.v1	30	70	108	547
Glyma.01G005200.Wm82.a4.v1	25	65	8	40
Glyma.01G005300.Wm82.a4.v1	529	424	184	423
Glyma.01G005400.Wm82.a4.v1	142	161	234	405
Glyma.01G005500.Wm82.a4.v1	40	114	56	62
Glyma.01G005600.Wm82.a4.v1	229	372	40	112
Glyma.01G005800.Wm82.a4.v1	107	51	15	65
Glyma.01G005900.Wm82.a4.v1	0	0	1	0
Glyma.01G006000.Wm82.a4.v1	42	53	19	61
Glyma.01G006100.Wm82.a4.v1	398	560	176	361
Glyma.01G006200.Wm82.a4.v1	1906	1593	286	705
Glyma.01G006300.Wm82.a4.v1	0	0	0	0
Glyma.01G006400.Wm82.a4.v1	498	315	146	411
Glyma.01G006500.Wm82.a4.v1	505	462	86	461
Glyma.01G006600.Wm82.a4.v1	237	177	75	226
Glyma.01G006700.Wm82.a4.v1	27	22	17	68
Glyma.01G006800.Wm82.a4.v1	19	6	0	17
Glyma.01G006900.Wm82.a4.v1	725	657	364	616
Glyma.01G007000.Wm82.a4.v1	12	14	15	15
Glyma.01G007100.Wm82.a4.v1	0	0	0	4
Glyma.01G007200.Wm82.a4.v1	490	490	1038	1926
Glyma.01G007300.Wm82.a4.v1	66	67	221	423
Glyma.01G007400.Wm82.a4.v1	304	289	429	686
Glyma.01G007500.Wm82.a4.v1	44	31	108	159
Glyma.01G007600.Wm82.a4.v1	0	0	4	0
Glyma.01G007650.Wm82.a4.v1	0	0	0	0
Glyma.01G007700.Wm82.a4.v1	506	406	350	753
Glyma.01G007800.Wm82.a4.v1	366	426	126	241
Glyma.01G007900.Wm82.a4.v1	0	0	5	8
Glyma.01G008000.Wm82.a4.v1	212	295	67	149
Glyma.01G008100.Wm82.a4.v1	46	55	13	25
Glyma.01G008200.Wm82.a4.v1	11	0	0	4
Glyma.01G008300.Wm82.a4.v1	13	0	0	0
Glyma.01G008400.Wm82.a4.v1	330	354	315	732
Glyma.01G008500.Wm82.a4.v1	12125	8349	3797	12869
Glyma.01G008600.Wm82.a4.v1	536	239	213	724
